workload,week,people,season,holidays,output,data$product,predicted.nn.values$net.result
0.999950002,0.74998125,0,0.99990001,0,4,cereals,4
0,0.74998125,0,0,0,3,cereals,3
0,0.74998125,0,0,0,5,cereals,3
