workload,week,people,season,holidays,output,data$product,predicted.nn.values$net.result
0.499975001,0.24999375,0,0.99990001,0.99990001,6,milk,6
0.999950002,0.999975001,0,0.99990001,0,5,milk,5
0.999950002,0.4999875,0,0,0,5,milk,4
0,0,0,0,0,4,milk,6
